Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2023-06-06 00:00:00-04:00,83.0222354183815,86.48581900073002,82.64473149217473,86.24044036865234,1317400,0.0,0.0
2023-06-07 00:00:00-04:00,86.08001028546356,88.68477966008649,86.08001028546356,86.2781982421875,978600,0.0,0.0
2023-06-08 00:00:00-04:00,86.52956967842415,87.620439398137,86.52956967842415,87.45917510986328,526100,0.465,0.0
2023-06-09 00:00:00-04:00,88.54055698331446,88.80616577222729,87.37380627540601,87.55403900146484,998200,0.0,0.0
2023-06-12 00:00:00-04:00,87.48764121797804,88.84411252977716,87.48764121797804,88.56902313232422,552100,0.0,0.0
2023-06-13 00:00:00-04:00,90.85508531360112,91.97441116203697,89.82113551685116,90.51359558105469,924900,0.0,0.0
2023-06-14 00:00:00-04:00,92.04083029834247,93.99490520394768,91.5191149940916,93.56804656982422,1707200,0.0,0.0
2023-06-15 00:00:00-04:00,93.33088762980043,94.17512417356656,92.61945185221555,93.09374237060547,1787900,0.0,0.0
2023-06-16 00:00:00-04:00,93.09374431235989,94.6494166661592,92.86608688517194,93.38780212402344,1372400,0.0,0.0
2023-06-20 00:00:00-04:00,91.82265190392357,91.97442111420064,90.22903539196788,90.35234832763672,946600,0.0,0.0
2023-06-21 00:00:00-04:00,90.00136566039664,91.20606762313732,90.00136566039664,90.09622955322266,670200,0.0,0.0
2023-06-22 00:00:00-04:00,90.07725546312572,90.21954406776686,89.31839496687145,89.62194061279297,1004700,0.0,0.0
2023-06-23 00:00:00-04:00,88.21805394941876,88.41725513827186,87.60147470557801,88.28445434570312,642500,0.0,0.0
2023-06-26 00:00:00-04:00,88.01884856594198,89.4227446596503,87.51610169844777,87.74375915527344,640500,0.0,0.0
2023-06-27 00:00:00-04:00,92.05978882271853,92.4487032689113,90.95943139037082,91.86058044433594,2784100,0.0,0.0
2023-06-28 00:00:00-04:00,91.52858854731818,92.76174687532013,90.85509683304308,91.19658660888672,1514100,0.0,0.0
2023-06-29 00:00:00-04:00,91.50012632809398,92.98939827268194,91.40526967143278,92.95145416259766,1409000,0.0,0.0
2023-06-30 00:00:00-04:00,92.45819958405079,93.14117912371238,91.34836145065039,91.71830749511719,1425700,0.0,0.0
2023-07-03 00:00:00-04:00,94.137190002965,95.4841807176074,93.7292998245993,94.2035903930664,765700,0.0,0.0
2023-07-05 00:00:00-04:00,93.09374687041723,93.42574880191815,92.57202438013057,93.08425903320312,733800,0.0,0.0
2023-07-06 00:00:00-04:00,92.04083672053463,92.04083672053463,90.40927582693978,90.85511016845703,874000,0.0,0.0
2023-07-07 00:00:00-04:00,90.46618425028976,91.9270000472643,90.25749524542202,91.49064636230469,960100,0.0,0.0
2023-07-10 00:00:00-04:00,91.31042115723562,92.79969323462709,91.14915686572216,92.3538589477539,763700,0.0,0.0
2023-07-11 00:00:00-04:00,92.35385938126673,94.92451337471114,92.35385938126673,93.57752990722656,850600,0.0,0.0
2023-07-12 00:00:00-04:00,96.57503679442212,97.53310570521613,96.08177782043764,97.5141372680664,1547000,0.0,0.0
2023-07-13 00:00:00-04:00,99.43027592295732,99.75279727747449,98.73780849864977,99.5535888671875,1490200,0.0,0.0
