Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Has outliers,SMA 20,SMA 50,EMA 20,RSI 14
2023-06-06 00:00:00-04:00,83.0222354183815,86.48581900073002,82.64473149217473,86.24044036865234,1317400,0.0,0.0,-1.0,82.26628684997559,83.53884857177735,82.46836547078036,53.33331474927159
2023-06-07 00:00:00-04:00,86.08001028546356,88.68477966008649,86.08001028546356,86.2781982421875,978600,0.0,0.0,-1.0,82.45928497314453,83.59679519653321,82.83120668710484,56.58693907591319
2023-06-08 00:00:00-04:00,86.52956967842415,87.620439398137,86.52956967842415,87.45917510986328,526100,0.465,0.0,-1.0,82.64479751586914,83.63419357299804,83.27196558451041,61.35746745031134
2023-06-09 00:00:00-04:00,88.54055698331446,88.80616577222729,87.37380627540601,87.55403900146484,998200,0.0,0.0,-1.0,82.85156898498535,83.71709075927734,83.67978210041083,60.90094358453906
2023-06-12 00:00:00-04:00,87.48764121797804,88.84411252977716,87.48764121797804,88.56902313232422,552100,0.0,0.0,-1.0,83.26056251525878,83.81632400512696,84.14542410345021,60.86175225093416
2023-06-13 00:00:00-04:00,90.85508531360112,91.97441116203697,89.82113551685116,90.51359558105469,924900,0.0,0.0,-1.0,83.54500160217285,83.95727981567383,84.75191662512682,77.86734572667339
2023-06-14 00:00:00-04:00,92.04083029834247,93.99490520394768,91.5191149940916,93.56804656982422,1707200,0.0,0.0,-1.0,83.99348831176758,84.13440948486328,85.59154804843133,81.64490808710579
2023-06-15 00:00:00-04:00,93.33088762980043,94.17512417356656,92.61945185221555,93.09374237060547,1787900,0.0,0.0,-1.0,84.48762588500976,84.29204940795898,86.30604274578126,78.07276935396669
2023-06-16 00:00:00-04:00,93.09374431235989,94.6494166661592,92.86608688517194,93.38780212402344,1372400,0.0,0.0,-1.0,85.04978828430175,84.48690307617187,86.98049601989956,74.17832387840733
2023-06-20 00:00:00-04:00,91.82265190392357,91.97442111420064,90.22903539196788,90.35234832763672,946600,0.0,0.0,-1.0,85.44177551269532,84.59971878051758,87.30162481111262,79.5717551475708
2023-06-21 00:00:00-04:00,90.00136566039664,91.20606762313732,90.00136566039664,90.09622955322266,670200,0.0,0.0,-1.0,85.76904983520508,84.72138000488282,87.56777764369453,78.2736189184633
2023-06-22 00:00:00-04:00,90.07725546312572,90.21954406776686,89.31839496687145,89.62194061279297,1004700,0.0,0.0,-1.0,86.2972240447998,84.83393264770508,87.7634122121801,75.27147155939136
2023-06-23 00:00:00-04:00,88.21805394941876,88.41725513827186,87.60147470557801,88.28445434570312,642500,0.0,0.0,-1.0,86.77173690795898,84.93785568237304,87.81303527251563,68.4896836787911
2023-06-26 00:00:00-04:00,88.01884856594198,89.4227446596503,87.51610169844777,87.74375915527344,640500,0.0,0.0,-1.0,87.11351356506347,84.9928369140625,87.80643754706401,66.25006575804827
2023-06-27 00:00:00-04:00,92.05978882271853,92.4487032689113,90.95943139037082,91.86058044433594,2784100,0.0,0.0,-1.0,87.48276176452637,85.12298217773437,88.19254639442325,65.73666403051274
2023-06-28 00:00:00-04:00,91.52858854731818,92.76174687532013,90.85509683304308,91.19658660888672,1514100,0.0,0.0,-1.0,88.03304328918458,85.1632144165039,88.4786454624674,63.305117243241085
